id,Domain,Phylum,Class,Order,Family,Genus,Species
FM209304.1.1500,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Massilia, Ambiguous_taxa
FM213013.1.1535,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Pseudoxanthomonas, uncultured bacterium
FM213392.1.1485,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Arthrobacter, Arthrobacter globiformis
FM873871.1.1482,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
FM874399.1.1462,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acidiphilium, uncultured bacterium
FM994916.1.1462,Bacteria, Ignavibacteriae, Ignavibacteria, Ignavibacteriales, IheB3-7, uncultured bacterium, uncultured bacterium
FN421491.1.1369,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, uncultured bacterium
FN421497.1.1383,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, uncultured bacterium
FN421530.1.1366,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, uncultured bacterium
GU941055.1.1253,Bacteria, Cyanobacteria, Cyanobacteria, SubsectionI, FamilyI, Synechococcus, uncultured bacterium
FN421949.1.1367,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Ambiguous_taxa
FN436182.1.1450,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Tardiphaga, Ambiguous_taxa
HE589819.1.1403,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, uncultured bacterium
HE589870.1.1405,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Xanthobacteraceae, Ambiguous_taxa, Ambiguous_taxa
FN668384.1.1517,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Yersinia, Yersinia ruckeri
JF345523.1.1302,Bacteria, Firmicutes, Bacilli, Bacillales, Family XII, Exiguobacterium, Ambiguous_taxa
HG917748.1.1425,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, Ambiguous_taxa
FQ659590.1.1312,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, uncultured, uncultured soil bacterium
FQ659654.1.1363,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Chitinophagaceae, Terrimonas, Ambiguous_taxa
FQ659775.1.1375,Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Verrucomicrobiaceae, uncultured, uncultured soil bacterium
HJ352577.1.1402,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, uncultured, Ambiguous_taxa
HJ352591.1.1442,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Alkanindiges, Ambiguous_taxa
HJ971778.2.1216,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, unidentified
FR675947.1.1459,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Variovorax, uncultured bacterium
FR675957.1.1392,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, JG34-KF-161, uncultured bacterium, uncultured bacterium
FR749788.1.1487,Bacteria, Acidobacteria, Blastocatellia, Blastocatellales, Blastocatellaceae (Subgroup 4), Blastocatella, Ambiguous_taxa
HM104367.1.1424,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Microbacteriaceae, Microbacterium, Ambiguous_taxa
GACN01029607.149.2074,Bacteria, Cyanobacteria, Chloroplast, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GAFC01002709.91.1436,Bacteria, Cyanobacteria, Cyanobacteria, uncultured, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GAJE01006253.263.2200,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Avena sativa (oat), Avena sativa (oat)
GAUZ01004947.4.1494,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Ambiguous_taxa
GAXU01013584.195.1647,Bacteria, Cyanobacteria, Chloroplast, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GAYD01005992.1.1396,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Blaberus atropos
GAYR01026355.62.1575,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Enhydrobacter, Solanum melongena (eggplant)
GAYX01056574.118.1534,Bacteria, Cyanobacteria, Chloroplast, Lolium perenne, Lolium perenne, Lolium perenne, Lolium perenne
GBDO01023607.63.1533,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachia, Kerria lacca (common lac scale)
GBFX01069610.194.1692,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Nocardiaceae, Rhodococcus, Oryzias melastigma (Indian medaka)
GBJO01012550.108.1421,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Mangifera indica (mango), Mangifera indica (mango)
GCVS01044766.16.1429,Bacteria, Cyanobacteria, Chloroplast, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GDAX01048398.486.2474,Bacteria, Cyanobacteria, Chloroplast, Carya cathayensis, Carya cathayensis, Carya cathayensis, Carya cathayensis
GDGZ01024135.295.1812,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Stenotrophomonas, Austrofundulus limnaeus
GDLT01000794.39.1686,Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Mitochondria, Tectona grandis, Tectona grandis
GEKW01011293.2009.3843,Bacteria, Cyanobacteria, Chloroplast, Anemone flaccida, Anemone flaccida, Anemone flaccida, Anemone flaccida
GEMC01068557.118.1431,Bacteria, Cyanobacteria, Chloroplast, Nasturtium officinale, Nasturtium officinale, Nasturtium officinale, Nasturtium officinale
GQ002422.1.1311,Bacteria, Cyanobacteria, Cyanobacteria, SubsectionII, FamilyII, Chroococcidiopsis, uncultured bacterium
GQ004971.1.1355,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Ezakiella, uncultured bacterium
GQ004989.1.1351,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
GQ006259.1.1327,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Peptoniphilus, uncultured bacterium
GQ006276.1.1348,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
GQ006303.1.1329,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Finegoldia, uncultured bacterium
GQ006310.1.1371,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, uncultured bacterium
GQ006324.1.1342,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
GQ006332.1.1341,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
GQ006428.1.1348,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
GQ008023.1.1336,Bacteria, FBP, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium, uncultured bacterium
GQ012876.1.1370,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, uncultured bacterium
GQ014582.1.1349,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
GQ014760.1.1344,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Peptoniphilus, uncultured bacterium
GQ020498.1.1364,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, uncultured bacterium
GQ054463.1.1325,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acidiphilium, uncultured bacterium
GQ058966.1.1338,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
GQ059294.1.1310,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Zymomonas, uncultured bacterium
GQ061101.1.1342,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
GQ062543.1.1350,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
GQ063996.1.1351,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella, uncultured bacterium
GQ076362.1.1360,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Alkanindiges, Ambiguous_taxa
GQ079892.1.1367,Bacteria, Firmicutes, Bacilli, Bacillales, Family X, Thermicanus, uncultured bacterium
GQ083830.1.1341,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Lawsonella, uncultured bacterium
GQ092675.1.1355,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, uncultured bacterium
GQ092782.1.1359,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, uncultured bacterium
HM187033.1.1370,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Chitinophagaceae, Sediminibacterium, Ambiguous_taxa
GQ132266.1.1385,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales vadinBB60 group, uncultured bacterium, uncultured bacterium
HM248803.1.1348,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
HM274598.1.1361,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella 6, uncultured bacterium
HM298612.1.1358,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenella, Ambiguous_taxa
HM332718.1.1343,Bacteria, Actinobacteria, Acidimicrobiia, Acidimicrobiales, Acidimicrobiaceae, uncultured, uncultured bacterium
GQ134707.1.1375,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, uncultured, uncultured bacterium
HM438600.1.1435,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Ambiguous_taxa
HM447858.1.1508,Bacteria, Acidobacteria, Subgroup 6, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
GQ140329.1.1452,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Delftia, Ambiguous_taxa
HM808814.1.1347,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, uncultured bacterium
HM810661.1.1372,Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Ambiguous_taxa
HM814426.1.1370,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidales S24-7 group, uncultured bacterium, uncultured bacterium
HM815275.1.1352,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, Ambiguous_taxa
HM817036.1.1354,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, Ambiguous_taxa
HM823853.1.1286,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Falsirhodobacter, Ambiguous_taxa
GQ181032.1.1425,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia-Paraburkholderia, Ambiguous_taxa
HM824935.1.1351,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, uncultured bacterium
HK555681.1.1458,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Dermabacteraceae, Brachybacterium, Ambiguous_taxa
HM840840.1.1330,Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiales vadinBB60 group, Ambiguous_taxa, Ambiguous_taxa
HM845809.1.1351,Bacteria, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Actinomycetospora, Ambiguous_taxa
GQ199613.1.1439,Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Paracoccus, Ambiguous_taxa
GQ199737.1.1616,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus sp. 210_35
GQ202647.1.1445,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Pontibacter, Ambiguous_taxa
GQ202676.1.1404,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Ensifer, Ensifer sp. U1 STR
GQ222403.1.1443,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia-Shigella, Escherichia coli
GQ231436.1.1471,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Ambiguous_taxa
HM295911.1.1339,Bacteria, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium 1, uncultured bacterium
HQ121051.1.1516,Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Dokdonella, Ambiguous_taxa
GQ263725.1.1464,Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Dyadobacter, uncultured bacterium
GQ264175.1.1407,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, uncultured, uncultured bacterium
HM325169.1.1382,Bacteria, Firmicutes, Negativicutes, Selenomonadales, Veillonellaceae, Veillonella, uncultured bacterium
GQ267695.1.1386,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium, Rhizobium radiobacter
GQ267992.1.1473,Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus, uncultured bacterium
GQ268017.1.1373,Bacteria, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, Ambiguous_taxa
GQ280042.1.1422,Bacteria, Actinobacteria, Actinobacteria, Micrococcales, Intrasporangiaceae, Janibacter, Ambiguous_taxa
GQ280118.1.1412,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, Ambiguous_taxa
GQ284376.1.1384,Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Ambiguous_taxa
GQ284468.1.1466,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Ambiguous_taxa
GQ284469.1.1314,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Ambiguous_taxa
GQ288981.1.1352,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Bosea, Ambiguous_taxa
GQ326955.1.1311,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus 1, uncultured rumen bacterium
HM809472.1.1350,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillibacter, uncultured bacterium
GQ327812.1.1316,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus 1, uncultured rumen bacterium
GQ327886.1.1324,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus 1, uncultured rumen bacterium
HM814506.1.1361,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, uncultured bacterium
GQ339904.1.1424,Bacteria, Actinobacteria, Actinobacteria, Propionibacteriales, Nocardioidaceae, Nocardioides, Ambiguous_taxa
HM831358.1.1357,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, uncultured bacterium
KF073615.1.1371,Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella, uncultured bacterium
GQ358914.1.1502,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Escherichia-Shigella, Ambiguous_taxa
GQ360016.1.1504,Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas, uncultured bacterium
GQ379563.1.1252,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Pseudorhodoferax, uncultured bacterium
GQ379614.1.1202,Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter, uncultured bacterium
GQ385284.1.1439,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, uncultured bacterium
GQ388921.1.1499,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, uncultured, uncultured bacterium
HQ591435.1.1201,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Ambiguous_taxa
GQ389111.1.1476,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, uncultured bacterium
GQ396969.1.1464,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingorhabdus, Ambiguous_taxa
GQ396989.1.1496,Bacteria, Bacteroidetes, Sphingobacteriia, Sphingobacteriales, Chitinophagaceae, uncultured, Ambiguous_taxa
GQ397031.1.1447,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, uncultured, uncultured bacterium
JF128488.1.1348,Bacteria, Firmicutes, Clostridia, Clostridiales, Family XI, Anaerococcus, uncultured bacterium
GQ415376.1.1502,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, uncultured bacterium
GQ415379.1.1495,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, uncultured bacterium
GQ417674.1.1463,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Raoultella, Ambiguous_taxa
GQ448243.1.1395,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium, uncultured bacterium
GQ448246.1.1389,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, uncultured bacterium
GQ448253.1.1400,Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, uncultured bacterium
GQ449212.1.1396,Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Parasutterella, uncultured bacterium
GQ472422.1.1447,Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria Incertae Sedis, Unknown Family, uncultured, Ambiguous_taxa
GQ472950.1.1239,Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, uncultured bacterium
GQ480049.1.1278,Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio, uncultured bacterium
GQ487985.1.1489,Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Phyllobacterium, uncultured bacterium
GQ491202.1.1390,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella 9, uncultured bacterium
GQ491478.1.1372,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides, Ambiguous_taxa
GQ492097.1.1402,Bacteria, Firmicutes, Negativicutes, Selenomonadales, Acidaminococcaceae, Phascolarctobacterium, uncultured bacterium
HQ681704.1.1466,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae NK4A136 group, uncultured bacterium
HQ681789.1.1456,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminiclostridium 5, uncultured bacterium
GQ493337.1.1368,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, [Eubacterium] ventriosum group, uncultured bacterium
GQ493354.1.1383,Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus, uncultured bacterium
GQ493778.1.1370,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnoclostridium, uncultured bacterium
HQ856458.1.1457,Bacteria, Acidobacteria, Solibacteres, Solibacterales, Solibacteraceae (Subgroup 3), Paludibaculum, Ambiguous_taxa
GQ927306.1.1467,Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Enterobacter, Enterobacter sp. M6
GQ985452.1.1479,Bacteria, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, Streptomyces flavoviridis
HW066269.1.1497,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, Ambiguous_taxa
HW066274.1.1496,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, [Eubacterium] xylanophilum group, unidentified
HW066284.1.1495,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, uncultured, Ambiguous_taxa
HW066289.1.1485,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae UCG-014, Ambiguous_taxa
HW066306.1.1482,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae NK4A136 group, Ambiguous_taxa
JQ740255.1.1494,Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Chryseobacterium, Ambiguous_taxa
HW066319.1.1497,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, Ambiguous_taxa
HW066321.1.1476,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus 1, Ambiguous_taxa
HW066325.1.1480,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerotruncus, Ambiguous_taxa
KF064845.1.1308,Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Novosphingobium, Ambiguous_taxa
HW066336.1.1509,Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, Ambiguous_taxa
HW066350.1.1499,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidales S24-7 group, unidentified, unidentified
HW066354.1.1542,Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, uncultured, Ambiguous_taxa
HW066356.1.1487,Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Odoribacter, unidentified
HW066363.1.1496,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Butyricicoccus, Ambiguous_taxa
HW066378.1.1498,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, uncultured, unidentified
GU120573.1.1398,Bacteria, Saccharibacteria, uncultured cyanobacterium, uncultured cyanobacterium, uncultured cyanobacterium, uncultured cyanobacterium, uncultured cyanobacterium
HW066386.1.1483,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae UCG-014, Ambiguous_taxa
HW066432.1.1485,Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae UCG-014, Ambiguous_taxa
HW066458.1.1507,Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae NK4A136 group, unidentified
